,target,clean_text
34,spam,thank subscript rington uk mobil charg �5month pleas confirm repli ye repli charg 
35,ham,yup ok go home look time msg � xuhui go learn 2nd may lesson 8am 
36,ham,oop ill let know roommat done 
37,ham,see letter b car 
38,ham,anyth lor u decid 
39,ham,hello how saturday go text see youd decid anyth tomo im tri invit anyth 
40,ham,pl go ahead watt want sure great weekend abiola 
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummi 
42,spam,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow 
43,ham,see 
44,ham,great hope like man well endow ltgt inch 
45,ham,callsmessagesmiss call 
46,ham,didnt get hep b immunis nigeria 
47,ham,fair enough anyth go 
48,ham,yeah hope tyler cant could mayb ask around bit 
49,ham,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker 
50,ham,think first time saw class 
51,ham,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt 
52,ham,k fyi x ride earli tomorrow morn he crash place tonight 
53,ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass 
54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv 
55,ham,know mallika sherawat yesterday find lturlgt 
56,spam,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss 
57,ham,sorri ill call later meet 
58,ham,tell reach 
59,ham,yesgauti sehwag odi seri 
60,ham,gonna pick 1 burger way home cant even move pain kill 
61,ham,ha ha ha good joke girl situat seeker 
62,ham,part check iq 
63,ham,sorri roommat took forev ok come 
64,ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice 
65,spam,valu custom pleas advis follow recent review mob award �1500 bonu prize call 09066364589 
66,ham,today song dedic day song u dedic send ur valuabl frnd first rpli 
67,spam,urgent ur award complimentari trip eurodisinc trav acoentry41 �1000 claim txt di 87121 186�150morefrmmob shracomorsglsuplt10 ls1 3aj 
68,spam,hear new divorc barbi come ken stuff 
69,ham,plane give month end 
70,ham,wah lucki man save money hee 
71,ham,finish class 
72,ham,hi babe im home wanna someth xx 
73,ham,kkwhere youhow perform 
74,ham,u call 
75,ham,wait machan call free 
76,ham,that cool gentleman treat digniti respect 
77,ham,like peopl much shi pa 
78,ham,oper ltgt 
79,ham,still look job much ta earn 
80,ham,sorri ill call later 
81,ham,k call ah 
82,ham,ok way home hi hi 
83,ham,place man 
84,ham,yup next stop 
85,ham,call later dont network urgnt sm 
86,ham,real u get yo need 2 ticket one jacket im done alreadi use multi 
87,ham,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro 
88,ham,im realli still tonight babe 
89,ham,ela kanoil download come wen ur free 
90,ham,yeah don���t stand close tho you���ll catch someth 
91,ham,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri 
92,ham,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile 
93,spam,pleas call custom servic repres 0800 169 6031 10am9pm guarante �1000 cash �5000 prize 
94,ham,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi 
95,spam,free rington wait collect simpli text password mix 85069 verifi get usher britney fml 
96,ham,watch telugu moviewat abt u 
97,ham,see finish load loan pay 
98,ham,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham 
99,ham,pleas dont text anymor noth els say 
100,ham,okay name ur price long legal wen pick u ave x am xx 
101,ham,im still look car buy gone 4the drive test yet 
102,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
103,ham,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston 
104,ham,umma life vava umma love lot dear 
105,ham,thank lot wish birthday thank make birthday truli memor 
106,ham,aight ill hit get cash 
107,ham,would ip address test consid comput isnt minecraft server 
108,ham,know grumpi old peopl mom like better lie alway one play joke 
109,ham,dont worri guess he busi 
110,ham,plural noun research 
111,ham,go dinnermsg 
112,ham,im ok wif co like 2 tri new thing scare u dun like mah co u said loud 
113,spam,gent tri contact last weekend draw show �1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm 
114,ham,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen 
115,ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went 
116,spam,winner u special select 2 receiv �1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18 
117,ham,goodo ye must speak friday eggpotato ratio tortilla need 
118,ham,hmmmi uncl inform he pay school directli pl buy food 
119,spam,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir 
120,spam,urgent mobil award �2000 bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm 
121,ham,new address applespairsal malarki 
122,spam,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app 
123,ham,go sao mu today done 12 
124,ham,�� predict wat time �ll finish buy 
125,ham,good stuff 
126,ham,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis 
127,ham,room 
128,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx 
129,ham,kkhow much cost 
130,ham,im home 
131,ham,dear call tmorrowpl accomod 
132,ham,first answer question 
133,spam,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 �150 sptyron 
134,spam,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31pmsg150p 
135,ham,haf msn yijuehotmailcom 
136,ham,call meet 
137,ham,check room befor activ 
138,spam,youll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri 
139,ham,got c lazi type forgot � lect saw pouch like v nice 
140,ham,k text your way 
141,ham,sir wait mail 
142,ham,swt thought nver get tire littl thing 4 lovabl person cozsomtim littl thing occupi biggest part heart gud ni8 
143,ham,know pl open back 
144,ham,ye see ya dot 
145,ham,what staff name take class us 
146,spam,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end 
147,ham,ummmawil call check inour life begin qatar pl pray hard 
148,ham,ki delet contact 
149,ham,sindu got job birla soft 
150,ham,wine flow im never 
151,ham,yup thk cine better co need 2 go 2 plaza mah 
152,ham,ok ur typic repli 
153,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun 
154,ham,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one 
155,ham,aaooooright work 
156,ham,im leav hous 
157,ham,hello love get interview today happi good boy think mear miss 
158,spam,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri 
159,spam,winner u special select 2 receiv �1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810 
160,ham,keep safe need miss alreadi envi everyon see real life 
161,ham,new car hous parentsi new job hand 
162,ham,im love im excit day spend make happi 
163,spam,pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468 
164,spam,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu 
165,ham,place ur point e cultur modul alreadi 
166,spam,urgent tri contact last weekend draw show �900 prize guarante call 09061701939 claim code s89 valid 12hr 
167,ham,hi frnd best way avoid missunderstd wit belov one 
168,ham,great escap fanci bridg need lager see tomo 
169,ham,ye complet formclark also utter wast 
170,ham,sir need axi bank account bank address 
171,ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao 
172,ham,time come later 
173,ham,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin 
174,ham,well im gonna finish bath goodfin night 
175,ham,let know youv got money carlo make call 
176,ham,u still go mall 
177,ham,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth 
178,ham,text doesnt repli let know log 
179,ham,hi spoke maneesha v wed like know satisfi experi repli toll free ye 
180,ham,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend 
181,ham,lol u trust 
182,ham,ok gentleman treat digniti respect 
183,ham,guy close 
184,ham,go noth greatby 
185,ham,hello handsom find job lazi work toward get back net mummi where boytoy miss 
186,ham,haha awesom minut 
187,spam,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante �1000 cash �5000 prize 
188,ham,got xma radio time get 
189,ham,ju reach home go bath first si use net tell u finish k 
190,spam,uniqu enough find 30th august wwwareyouuniquecouk 
191,ham,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week 
192,ham,hi final complet cours 
193,ham,stop howev suggest stay someon abl give or everi stool 
194,ham,hope youv settl new school year wishin gr8 day 
195,ham,gud mrng dear hav nice day 
196,ham,u got person stori 
197,ham,hamster dead hey tmr meet 1pm orchard mrt 
198,ham,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx 
199,ham,found enc ltgt 
200,ham,sent ltgt buck 
201,ham,hello darlin ive finish colleg txt u finish u love kate xxx 
202,ham,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt 
203,ham,goodmorn sleep ga 
204,ham,u call alter 11 ok 
205,ham,�� say like dat dun buy ericsson oso cannot oredi lar 
206,ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went 
207,ham,aight yo dat straight dogg 
208,ham,pleas give us connect today ltdecimalgt refund bill 
209,ham,shoot big load get readi 
210,ham,what bruv hope great break reward semest 
211,ham,home alway chat 
212,ham,kkgoodstudi well 
213,ham,yup � noe leh 
214,ham,sound great home 
215,ham,final match head toward draw predict 
216,ham,tire havent slept well past night 
217,ham,easi ahsen got select mean good 
218,ham,take exam march 3 
219,ham,yeah think use gt atm regist sure there anyway help let know sure readi 
220,ham,ok prob take ur time 
221,ham,os call ubandu run without instal hard diskyou use os copi import file system give repair shop 
222,ham,sorri ill call later 
223,ham,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh 
224,spam,500 new mobil 2004 must go txt nokia 89545 collect todayfrom �1 www4tcbiz 2optout 08718726270150gbpmtmsg18 
225,ham,would realli appreci call need someon talk 
226,spam,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari 
227,ham,hey compani elama po mudyadhu 
228,ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn 
229,ham,dear good morn 
230,ham,get gandhipuram walk cross cut road right side ltgt street road turn first right 
231,ham,dear go rubber place 
232,ham,sorri batteri die yeah im 
233,ham,yesher tv alway avail work place 
234,spam,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recdthirtyeight penc 
235,ham,print oh ltgt come upstair 
236,ham,ill littl closer like bu stop street 
237,ham,youwhen wil reach 
238,ham,new theori argument win situat lose person dont argu ur friend kick amp say im alway correct 
239,spam,u 447801259231 secret admir look 2 make contact ufind rreveal think ur specialcal 09058094597 
240,ham,tomarrow final hear laptop case cant 
241,ham,pleassssssseeeee tel v avent done sportsx 
242,ham,okay shine meant sign sound better 
243,ham,although told u dat im baig face watch realli like e watch u gave co fr u thanx 4 everyth dat uve done today im touch 
244,ham,u dont rememb old commerci 
245,ham,late said websit didnt dont slipper 
246,ham,ask call ok 
247,ham,kalli wont bat 2nd inning 
248,ham,didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep 
249,spam,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16 
250,ham,ranjith cal drpd deeraj deepak 5min hold 
251,ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da 
252,ham,doinghow 
253,ham,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff 
254,ham,im back lemm know your readi 
255,ham,dont necessarili expect done get back though im headin 
256,ham,mmm yummi babe nice jolt suzi 
257,ham,lover need 
258,spam,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705 
259,ham,i���m park next mini come today think 
260,ham,yup 
261,ham,anyway im go shop co si done yet dun disturb u liao 
262,ham,luton 0125698789 ring ur around h 
263,spam,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698 
264,ham,dint come us 
265,ham,wana plan trip sometm 
266,ham,sure yet still tri get hold 
267,spam,ur rington servic chang 25 free credit go club4mobilescom choos content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt 
268,ham,evo download flash jealou 
269,spam,rington club get uk singl chart mobil week choos top qualiti rington messag free charg 
270,ham,come mu sort narcot situat 
271,ham,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay 
272,spam,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 infowww100percentrealcom 
273,ham,usf guess might well take 1 car 
274,ham,object bf come 
275,ham,thanx 
276,ham,tell rob mack gf theater 
277,ham,awesom ill see bit 
278,ham,sent type food like 
279,ham,done hand celebr full swing yet 
280,ham,got call tool 
281,ham,wen u miss someon 
282,ham,ok ask money far 
283,ham,oki 
284,ham,yeah think usual guy still pass last night get ahold anybodi let know ill throw 
285,ham,k might come tonight class let earli 
286,ham,ok 
287,ham,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx 
288,ham,life mean lot love life love peopl life world call friend call world ge 
289,ham,dearshal mail tonitebusi streetshal updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens 
290,ham,hey told name gautham ah 
291,ham,haf u found feel stupid da v cam work 
292,ham,oop 4 got bit 
293,ham,much buzi 
294,ham,accident delet messag resend pleas 
295,spam,tmobil custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 3680offer end 28thfebtc appli 
296,ham,unless situat go gurl would appropri 
297,ham,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl 
298,ham,cant pick phone right pl send messag 
299,ham,need coffe run tomoc believ time week alreadi 
300,ham,awesom rememb last time got somebodi high first time diesel v 
301,ham,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi 
302,ham,oh way food fridg want go meal tonight 
303,ham,womdarful actor 
304,spam,sm ac blind date 4u rodds1 21m aberdeen unit kingdom check httpimg sm acwicmb3cktz8r74 blind date send hide 
305,ham,yup remb think book 
306,ham,jo ask u wana meet 
307,ham,lol ye friendship hang thread caus u wont buy stuff 
308,spam,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468 
309,ham,garag key arent bookshelf 
310,ham,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi 
311,spam,think ur smart win �200 week weekli quiz text play 85222 nowtc winnersclub po box 84 m26 3uz 16 gbp150week 
312,ham,say hell give call friend got money he definit buy end week 
313,ham,hi way u 2day normal waythi real ur uniquei hope know u 4 rest mylif hope u find wot lost 
314,ham,made day great day 
315,ham,kkadvanc happi pongal 
316,ham,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao 
317,ham,realli dude friend im afraid 
318,spam,decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906 
319,ham,coffe cake guess 
320,ham,merri christma babe love ya kiss 
321,ham,hey dont go watch x men lunch haha 
322,ham,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 1 pete x 
323,ham,would great well guild could meet bristol road somewher get touch weekend plan take flight good week 
324,ham,problem 
325,ham,callsmessagesmiss call 
326,ham,hi dahow today class 
327,ham,id say that good sign well know track record read women 
328,ham,cool text your park 
329,ham,im read text sent meant joke read light 
330,ham,kkapo kgood movi 
331,ham,mayb could get book tomo return immedi someth 
332,spam,call germani 1 penc per minut call fix line via access number 0844 861 85 85 prepay direct access 
333,ham,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor 
334,spam,valentin day special win �1000 quiz take partner trip lifetim send go 83600 150pmsg rcvd custcare08718720201 
335,ham,tadaaaaa home babe still 
336,ham,cool come havent wine dine 
337,ham,sleepingand surf 
338,ham,sorri ill call later 
339,ham,u call right call hand phone 
340,ham,ok that great thanx lot 
341,ham,take post come must 1000 text happi read one wiv hello carolin end favourit bless 
342,ham,u hide stranger 
343,ham,interest like 
344,ham,sister clear two round birla soft yesterday 
345,ham,gudnitetcpractic go 
346,ham,di yiju ju saw ur mail case huim havent sent u num di num 
347,ham,one small prestig problem 
348,spam,fanci shag dointerest sextextukcom txt xxuk suzi 69876 txt cost 150 per msg tnc websit x 
349,ham,check realli miss see jeremiah great month 
350,ham,nah cant help ive never iphon 
351,ham,your car hour half im go apeshit 
352,ham,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault im basic good 
353,ham,yo guy ever figur much need alcohol jay tri figur much safe spend weed 
354,ham,ltgt ish minut 5 minut ago wtf 
355,ham,thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tisscotays 
356,spam,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16 
357,spam,ur cashbal current 500 pound maxim ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422land roww1j6hl 
358,ham,im actor work work even sleep late sinc im unemploy moment alway sleep late your unemploy everi day saturday 
359,ham,hello got st andrewsboy long way cold keep post 
360,ham,ha ha cool cool chikku chikkudb 
361,ham,oh ok prob 
362,ham,check audrey statu right 
363,ham,busi tri finish new year look forward final meet 
364,ham,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway 
365,ham,well know z take care worri 
366,spam,updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402 call2optoutf4q 
367,spam,discount code rp176781 stop messag repli stop wwwregalportfoliocouk custom servic 08717205546 
368,ham,wat uniform get 
369,ham,cool text your readi 
370,ham,hello boytoy geeee miss alreadi woke wish bed cuddl love 
371,ham,spoil bed well 
372,ham,im go bath msg next ltgt min 
373,ham,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay 
374,spam,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994 
375,ham,say happen 
376,ham,could seen mei didt recognis face 
377,ham,well there lot thing happen lindsay new year sigh bar ptbo blue heron someth go 
378,ham,keep payasam rinu bring 
379,ham,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak 
380,ham,guess that worri must know there way bodi repair im quit sure shouldnt worri well take slow first test guid ovul relax noth youv said reason worri ill keep followin 
381,ham,yeah sure give coupl minut track wallet 
382,ham,hey leav big deal take care 
383,ham,hey late ah meet 945 
384,spam,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx 
385,ham,took mr owl 3 lick 
386,ham,custom place call 
387,ham,mm time dont like fun 
388,spam,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt 
389,ham,yup lunch buffet u eat alreadi 
390,ham,huh late fr dinner 
391,ham,hey sat go intro pilat kickbox 
392,ham,morn ok 
393,ham,ye think offic lap room think that last day didnt shut 
394,ham,pick bout 730ish time go 
395,ham,perform award calcul everi two monthnot current one month period 
396,ham,actual sleep still might u call back text gr8 rock si send u text wen wake 
397,ham,alway put busi put pictur ass facebook one open peopl ive ever met would think pictur room would hurt make feel violat 
398,ham,good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseertissco joinedhop fineinshah allahmeet sometimerakheshvisitor india 
399,ham,hmmmkbut want chang field quickli dai wanna get system administr network administr 
400,spam,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone 3x�150pw e�nd txt stop 
401,ham,dear chechi talk 
402,ham,hair cream ship 
403,ham,none that happen til get though 
404,ham,yep great loxahatche xma tree burn ltgt start hour 
405,ham,haha get use drive usf man know lot stoner 
406,ham,well slightli disastr class pm fav darl hope day ok coffe wld good cant stay late tomorrow time place alway 
407,ham,hello good week fanci drink someth later 
408,ham,headin toward busetop 
409,ham,messagesom text miss sendernam miss number miss sentdat miss miss u lot that everyth miss sent via fullonsmscom 
410,ham,come room point iron plan weekend 
411,ham,co want thing 
412,ham,oki ill go yan jiu skip ard oso go cine den go mrt one blah blah blah 
413,ham,bring home wendi 
414,spam,100 date servic call 09064012103 box334sk38ch 
415,ham,whatsup dont u want sleep 
416,ham,alright new goal 
417,spam,free entri �250 weekli competit text word win 80086 18 tc wwwtxttowincouk 
418,ham,alright ill head minut text meet 
419,spam,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p 
420,ham,yesfrom last week im take live call 
421,spam,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p 
422,ham,siva hostel aha 
423,spam,urgent mobil number award �2000 prize guarante call 09058094455 land line claim 3030 valid 12hr 
424,ham,send ur friend receiv someth ur voic speak express 1childish 2naughti 3sentiment 4rowdi 5ful attitud 6romant 7shi 8attract 9funni ltgt irrit ltgt lovabl repli 
425,ham,ok shell ok guess 
426,ham,aathiwher dear 
427,ham,pain urin thing els 
428,ham,7 esplanad � mind give lift co got car today 
429,ham,wnt buy bmw car urgentlyit vri urgentbut hv shortag ltgt lacsther sourc arng di amt ltgt lacsthat prob 
430,ham,home watch tv lor 
431,ham,usual take fifteen fuck minut respond ye question 
432,spam,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx 
433,ham,book ticket pongal 
434,ham,avail im like right around hillsborough amp ltgt th 
435,ham,messag sent askin ltgt dollar shoul pay ltgt ltgt 
436,ham,ask g iouri ive told stori like ten time alreadi 
437,ham,long applebe fuck take 
438,ham,hi hope u get txtjourney hasnt gdnow 50 min late think 
439,ham,like love arrang 
440,ham,yesh realli greatbhaji told kalli best cricket sachin worldveri tough get 
441,ham,suppos wake gt 
442,ham,oic saw tot din c found group liao 
443,ham,sorri ill call later 
444,ham,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou 
445,ham,sorri batteri die come im get gram where place 
446,ham,well done blimey exercis yeah kinda rememb wot hmm 
447,ham,wont get concentr dear know mind everyth 
448,ham,lol made plan new year 
449,ham,10 min later k 
450,ham,hank lotsli 
451,ham,thank hope good day today 
452,ham,kkwhat detail want transferacc enough 
453,ham,ok tell stay yeah tough optimist thing improv month 
454,spam,loan purpos �500 �75000 homeown tenant welcom previous refus still help call free 0800 1956669 text back help 
455,ham,si si think ill go make oreo truffl 
456,ham,look ami ure beauti intellig woman like u lot know u don��t like like don��t worri 
457,ham,hope that result consist intellig kind start ask practicum link keep ear open best ttyl 
458,ham,120 call cost guess isnt bad miss ya need ya want ya love ya 
459,ham,go thru differ feelingwav decis cope individualtim heal everyth believ 
460,ham,u go phone gonna die stay 
461,ham,great never better day give even reason thank god 
462,spam,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 9153 offer end 26th juli tc appli optout avail 
463,ham,sorri ill call later ok bye 
464,ham,ok way railway 
465,ham,great princess love give receiv oral doggi style fave posit enjoy make love ltgt time per night 
466,ham,dont put stuff road keep get slipperi 
467,ham,go ride bike 
468,ham,yup need ill ju wait 4 e rain 2 stop 
469,ham,mani compani tell languag 
470,spam,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm 
471,ham,long sinc scream princess 
472,ham,noth meant money enter account bank remov flat rate someon transfer ltgt account ltgt dollar got remov bank differ charg also differb sure trust 9ja person send account detail co 
473,spam,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 31pmsg150p 
474,ham,nice line said broken heart plz dont cum 1 time infront wise trust u good 9t 
475,ham,ok im gonna head usf like fifteen minut 
476,ham,love aathilov u lot 
477,ham,tension ahwhat machiani problem 
478,ham,k pick anoth 8th your done 
479,ham,whenr guy get back g said think stay mcr 
480,ham,almost see u sec 
481,ham,yo carlo friend alreadi ask work weekend 
482,ham,watch tv lor 
483,ham,thank babi cant wait tast real thing 
484,ham,chang fb jaykwon thuglyf falconerf 
485,ham,win realli 1 side long time 
486,spam,free messag activ 500 free text messag repli messag word free term condit visit www07781482378com 
487,ham,dear reach railway happen 
488,ham,depend qualiti want type sent boy fade glori 6 want ralph mayb 2 
489,ham,think ive fix send test messag 
490,ham,sorri man account dri would want could trade back half could buy shit credit card 
491,spam,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss 
492,ham,sorryin meet ill call later 
493,ham,class ltgt reunion 
494,ham,free nowcan call 
495,ham,got meh 
496,ham,nope think go monday sorri repli late 
497,ham,told accentur confirm true 
498,ham,kate jackson rec center 7ish right 
499,ham,dear reach room 
500,ham,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose 
501,ham,� come 
502,ham,check nuerologist 
503,ham,lolnic went fish water 
504,spam,123 congratul week competit draw u �1450 prize claim call 09050002311 b4280703 tcsstop sm 08718727868 18 150ppm 
505,ham,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat 
506,ham,mayb westshor hyde park villag place near hous 
507,ham,know how anthoni bring money ive school fee pay rent stuff like that need help friend need 
508,ham,what signific 
509,ham,opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli 
510,ham,8 latest gs still scroung ammo want give new ak tri 
511,ham,prabhaim sorydarealyfrm heart im sori 
512,ham,lol ok forgiven 
513,ham,nojst chang tat 
